Bulan,Tahun,Harga Gula (kg)
1,2020," Rp15,150 "
2,2020," Rp15,750 "
3,2020," Rp18,250 "
4,2020," Rp20,700 "
5,2020," Rp19,400 "
6,2020," Rp17,400 "
7,2020," Rp15,850 "
8,2020," Rp15,200 "
9,2020," Rp15,200 "
10,2020," Rp15,150 "
11,2020," Rp15,100 "
12,2020," Rp15,300 "
1,2021," Rp15,200 "
2,2021," Rp14,950 "
3,2021," Rp14,950 "
4,2021," Rp14,700 "
5,2021," Rp14,450 "
6,2021," Rp14,550 "
7,2021," Rp14,800 "
8,2021," Rp14,650 "
9,2021," Rp14,750 "
10,2021," Rp14,600 "
11,2021," Rp14,750 "
12,2021," Rp14,600 "
1,2022," Rp14,950 "
2,2022," Rp15,350 "
3,2022," Rp16,200 "
4,2022," Rp16,950 "
5,2022," Rp16,750 "
6,2022," Rp16,650 "
7,2022," Rp16,650 "
8,2022," Rp16,650 "
9,2022," Rp16,500 "
10,2022," Rp16,500 "
11,2022," Rp16,350 "
12,2022," Rp16,450 "
1,2023," Rp16,400 "
2,2023," Rp16,400 "
3,2023," Rp16,500 "
4,2023," Rp16,250 "
5,2023," Rp16,300 "
6,2023," Rp16,250 "
7,2023," Rp16,500 "
8,2023," Rp16,600 "
9,2023," Rp16,700 "
10,2023," Rp17,000 "
11,2023," Rp17,950 "
12,2023," Rp19,000 "
1,2024," Rp19,150 "
2,2024," Rp19,500 "
3,2024," Rp19,900 "
4,2024," Rp19,650 "
5,2024," Rp19,900 "
6,2024," Rp19,950 "
7,2024," Rp19,950 "
8,2024," Rp20,000 "
9,2024," Rp20,050 "
